numer;data;tema
62.;28.12;Звичайні дроби
63.;29.12;Звичайні дроби і ділення натуральних чисел
64.;30.12;Звичайні дроби і ділення натуральних чисел
65.;18.01;Порівняння звичайних дробів з однаковими знаменниками
66.;19.01;Порівняння звичайних дробів з однаковими знаменниками
67.;20.01;Правильні і неправильні дроби
68.;22.01;Правильні і неправильні дроби.
69.;25.01;Мішані числа
70.;26.01;Мішані числа
71.;27.01;Додавання і віднімання звичайнихдробів з однаковими знаменниками
72.;29.01;Додавання і віднімання звичайних дробів з однаковими знаменниками
73.;01.02;Додавання і віднімання мішаних чисел
74.;02.02;Додавання і віднімання мішаних чисел
75.;03.02;Узагальнення знань, вмінь та навичок.
76.;05.02;Контрольна робота № 7 « Дробові числа»
77.;08.02;Корекція знань, вмінь та навичок
78.;09.02;Десятковий дріб. Запис десяткових дробів
79.;10.02;Десятковий дріб. Запис десяткових дробів
80.;12.02;Порівняння десяткових дробів
81.;15.02;Порівняння десяткових дробів
82.;16.02;Округлення десяткових дробів
83.;17.02;Округлення десяткових дробів
84.;19.02;Арифметичні дії з десятковими дробами(додавання та віднімання)
85.;22.02;Арифметичні дії з десятковими дробами
86.;23.02;Арифметичні дії з десятковими дробами
87.;24.02;Арифметичні дії з десятковими дробами
88.;26.02;Арифметичні дії з десятковими дробами
89.;01.03;Арифметичні дії з десятковими дробами
90.;02.03;Арифметичні дії з десятковими дробами
91.;03.03;Узагальнення знань, вмінь та навичок.
92.;05.03;Контрольна робота № 8 « Дробові числа»
93.;09.03;Корекція знань, вмінь та навичок
94.;10.03;Арифметичні дії з десятковими дробами(множення)
95.;12.03;Арифметичні дії з десятковими дробами
96.;15.03;Арифметичні дії з десятковими дробами
97.;16.03;Арифметичні дії з десятковими дробами
98.;17.03;Арифметичні дії з десятковими дробами(ділення)
99.;19.03;Арифметичні дії з десятковими дробами
100.;29.03;Арифметичні дії з десятковими дробами
101.;30.03;Арифметичні дії з десятковими дробами
102.;31.03;Арифметичні дії з десятковими дробами
103.;2.04;Арифметичні дії з десятковими дробами
104.;5.04;Арифметичні дії з десятковими дробами
105.;6.04;Арифметичні дії з десятковими дробами
106.;7.04;Арифметичні дії з десятковими дробами
107.;9.04;Узагальнення знань, вмінь та навичок.
108.;12.04;Контрольна робота № 9 « Дробові числа»
109.;13.04;Корекція знань, вмінь та навичок
110.;14.04;Відсотки.
111.;16.04;Відсотки.
112.;19.04;Відсотки.
113.;20.04;Відсотки.
114.;21.04;Відсотки.
115.;23.04;Відсотки.
116.;26.04;Середнє арифметичне. Середнє значення величини.
117.;27.04;Середнє арифметичне. Середнє значення величини.
118.;28.04;Середнє арифметичне. Середнє значення величини.
119.;30.04;Узагальнення знань, вмінь та навичок.
120.;5.05;Контрольна робота № 10 « Відсотки»
121.;7.05;Корекція знань, вмінь та навичок
122.;11.05;Додавання, віднімання, множення та ділення натуральних чисел.
123.;12.05;Відрізок та його довжина. Кут та його величина. Трикутник. Види трикутників. Прямокутник. Квадрат.
124.;14.05;Порівняння звичайних дробів з однаковими знаменниками.
125.;17.05;Додавання і віднімання звичайних дробів з однаковими знаменниками.
126.;18.05;Арифметичні дії з десятковими дробами.
127.;19.05;Відсотки. Середнє арифметичне. Середнє значення величини.
128.;21.05;Буквені вирази та формули. Рівняння.
129.;24.05;Контрольна робота(річна)
130.;25.05;Корекція знань, вмінь та навичок.
131.;26.05;Розв'язування цікавих задач
132.;28.05;Підсумковий урок
